,ISO 3166-1 numeric code,Location,pop1950,pop1955,pop1960,pop1965,pop1970,1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015
260,583,Micronesia (Fed. States of),32.001,37.893,44.537,52.242,61.431,63.144,72.964,85.686,96.331,107.556,107.432,106.196,103.616,104.433
261,520,Nauru,2.954,3.619,4.433,5.74,6.496,7.068,7.488,8.173,9.155,9.969,10.037,10.114,10.025,11.26
262,580,Northern Mariana Islands,6.999,8.01,10.035,11.105,13.127,15.117,16.92,29.092,42.538,56.278,69.094,63.744,54.424,54.816
263,585,Palau,7.441,8.255,9.642,10.782,11.48,12.278,12.194,13.696,15.088,17.253,19.175,19.906,20.47,21.288
264,957,Polynesia,241.999,274.122,307.955,360.414,409.638,442.98,474.61,512.772,548.606,580.307,612.966,642.17,659.073,676.747
265,16,American Samoa,18.94,19.702,20.013,23.52,27.292,29.932,32.457,39.241,47.038,52.868,57.521,59.118,55.637,55.537
266,184,Cook Islands,15.077,16.372,18.259,18.968,21.405,20.349,17.638,17.733,18.356,18.956,18.122,19.71,18.545,17.449
267,258,French Polynesia,60.266,68.854,78.076,93.438,110.495,130.619,151.708,175.204,198.375,215.196,237.258,254.886,267.82,277.69
268,570,Niue,4.667,4.694,4.826,5.098,5.135,3.976,3.404,2.719,2.329,2.165,1.899,1.683,1.63,1.629
269,882,Samoa,82.097,94.208,108.646,127.068,143.176,151.387,155.557,160.031,162.866,170.157,174.61,179.929,186.205,193.759
270,772,Tokelau,1.566,1.607,1.873,1.922,1.621,1.572,1.553,1.709,1.608,1.517,1.554,1.208,1.14,1.252
271,776,Tonga,47.22,55.323,61.601,74.362,84.369,88.348,93.007,93.953,95.153,96.076,98.082,101.041,104.137,106.364
272,798,Tuvalu,5.166,5.569,6.104,6.815,7.303,7.677,8.052,8.65,9.003,9.23,9.42,10.027,10.531,11.001
273,876,Wallis and Futuna Islands,7,7.793,8.557,9.223,8.842,9.12,11.234,13.532,13.878,14.142,14.5,14.568,13.428,12.066
